Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance
1014.817,YES,1,0.8655881,0.8901488,-0.7224262,0.2688798,1.281247,-0.4536726,0.7623958,NO,0.207692
1021.54,YES,2,1.345543,0.6164818,-0.8436089,-0.1519833,2.907892,3.925689,5.499032,NO,0.07577784
1022.892,YES,3,1.268965,0.7638741,-0.7462709,-0.4092914,3.80894,7.635382,9.074198,NO,1.341786
1025.573,YES,4,1.171224,0.7728074,-0.7430799,1.227276,0.8451489,-0.6688967,0.1178063,NO,0.08438338
1030.186,YES,5,0.9006709,0.9088248,-0.6912298,1.051199,0.908044,-0.635643,0.1604653,NO,0.1501786
1041.971,YES,6,0.963836,0.8022472,-0.7565856,0.910889,0.9210756,-0.6647167,0.1592591,NO,0.101358
