Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance
69.60841,YES,1,0.7568533,1.058969,-0.8600585,0.7777597,1.126705,-0.8249805,0.07909296,NO,0.4277454
72.368,YES,2,0.7687786,1.026681,-0.8906848,0.8264094,1.079215,-0.8494294,0.088222,NO,0.3623471
79.77481,YES,3,0.6345468,1.041926,-0.9145932,0.7152664,1.075773,-0.8658655,0.1001783,NO,0.1992331
86.46514,YES,4,0.6632208,1.033759,-0.8968782,0.7750622,1.074213,-0.8782332,0.1203855,NO,0.1363866
93.47015,YES,5,0.7245394,1.078665,-0.9035339,0.7752728,1.190127,-0.8407381,0.1376265,NO,0.3581381
