Time,Blocked Position X,Blocked Position Y,Blocked Position Z,Blocked Velocity X,Blocked Velocity Y,Blocked Velocity Z,Trial When Spawned
50.98667,-0.4011252,1.123811,-0.5768507,-3.344693,-3.891597,-0.1204038,5
75.54222,-0.2186617,1.108967,-0.5679741,-1.55096,-4.281753,-0.7077748,10
106.5422,0.04907064,1.187506,-0.59267,1.828871,-5.087448,-0.5612444,16
130.1311,0.08634802,1.212475,-0.6119232,2.773881,-3.13612,-1.178412,21
154.6644,-0.1057848,1.194087,-0.5162849,1.495584,-1.161576,-1.432164,27
192.1422,0.1506716,1.331811,-0.7065864,3.591788,-0.257333,-2.861923,35
216.4756,-0.3367054,1.311301,-0.6341036,-2.455194,-1.333276,-0.5102797,41
235.7311,-0.579505,1.244403,-0.5562972,-5.399198,-2.25321,0.2816057,46
257.7422,-0.5326799,1.286801,-0.6651381,-4.585873,-1.584525,-0.4435568,51
