Time,Blocked Position X,Blocked Position Y,Blocked Position Z,Blocked Velocity X,Blocked Velocity Y,Blocked Velocity Z,Trial When Spawned
75.42445,0.4328316,1.222791,-0.5752532,2.55342,-0.5128915,0.03039472,6
187.0578,-0.06728927,1.162183,-0.6237041,-1.053203,-0.7220218,-1.027784,22
